timestamp,Time ,Garbage,value
2018-01-03 9:45,2018-01-03 09:45:00 PST,182.3kW,182.3
2018-01-03 10:00,2018-01-03 10:00:00 PST,187.3kW,187.3
2018-01-03 10:15,2018-01-03 10:15:00 PST,182.6kW,182.6
2018-01-03 10:30,2018-01-03 10:30:00 PST,170.4kW,170.4
2018-01-03 10:45,2018-01-03 10:45:00 PST,170.1kW,170.1
2018-01-03 11:00,2018-01-03 11:00:00 PST,183.4kW,183.4
2018-01-03 11:15,2018-01-03 11:15:00 PST,164.3kW,164.3
2018-01-03 11:30,2018-01-03 11:30:00 PST,178.0kW,178
2018-01-03 11:45,2018-01-03 11:45:00 PST,172.5kW,172.5
2018-01-03 12:00,2018-01-03 12:00:00 PST,152.1kW,152.1
2018-01-03 12:15,2018-01-03 12:15:00 PST,151.1kW,151.1
2018-01-03 12:30,2018-01-03 12:30:00 PST,167.7kW,167.7
2018-01-03 12:45,2018-01-03 12:45:00 PST,188.4kW,188.4
2018-01-03 13:00,2018-01-03 13:00:00 PST,202.7kW,202.7
2018-01-03 13:15,2018-01-03 13:15:00 PST,185.7kW,185.7
2018-01-03 13:30,2018-01-03 13:30:00 PST,177.1kW,177.1
2018-01-03 13:45,2018-01-03 13:45:00 PST,168.1kW,168.1
2018-01-03 14:00,2018-01-03 14:00:00 PST,174.5kW,174.5
2018-01-03 14:15,2018-01-03 14:15:00 PST,184.6kW,184.6
2018-01-03 14:30,2018-01-03 14:30:00 PST,176.3kW,176.3
2018-01-03 14:45,2018-01-03 14:45:00 PST,187.7kW,187.7
2018-01-03 15:00,2018-01-03 15:00:00 PST,191.9kW,191.9
2018-01-03 15:15,2018-01-03 15:15:00 PST,195.3kW,195.3
2018-01-03 15:30,2018-01-03 15:30:00 PST,180.9kW,180.9
2018-01-03 15:45,2018-01-03 15:45:00 PST,163.2kW,163.2
2018-01-03 16:00,2018-01-03 16:00:00 PST,166.4kW,166.4
2018-01-03 16:15,2018-01-03 16:15:00 PST,148.5kW,148.5
2018-01-03 16:30,2018-01-03 16:30:00 PST,152.1kW,152.1
2018-01-03 16:45,2018-01-03 16:45:00 PST,160.4kW,160.4
2018-01-03 17:00,2018-01-03 17:00:00 PST,166.2kW,166.2
2018-01-03 17:15,2018-01-03 17:15:00 PST,136.0kW,136
2018-01-03 17:30,2018-01-03 17:30:00 PST,129.0kW,129
2018-01-03 17:45,2018-01-03 17:45:00 PST,125.5kW,125.5
2018-01-03 18:00,2018-01-03 18:00:00 PST,122.8kW,122.8
2018-01-03 18:15,2018-01-03 18:15:00 PST,116.4kW,116.4
2018-01-03 18:30,2018-01-03 18:30:00 PST,123.1kW,123.1
2018-01-03 18:45,2018-01-03 18:45:00 PST,119.8kW,119.8
2018-01-03 19:00,2018-01-03 19:00:00 PST,124.6kW,124.6
2018-01-03 19:15,2018-01-03 19:15:00 PST,131.0kW,131
2018-01-03 19:30,2018-01-03 19:30:00 PST,134.8kW,134.8
2018-01-03 19:45,2018-01-03 19:45:00 PST,121.5kW,121.5
2018-01-03 20:00,2018-01-03 20:00:00 PST,123.6kW,123.6
2018-01-03 20:15,2018-01-03 20:15:00 PST,126.4kW,126.4
2018-01-03 20:30,2018-01-03 20:30:00 PST,125.2kW,125.2
2018-01-03 20:45,2018-01-03 20:45:00 PST,115.6kW,115.6
2018-01-03 21:00,2018-01-03 21:00:00 PST,124.7kW,124.7
2018-01-03 21:15,2018-01-03 21:15:00 PST,127.4kW,127.4
2018-01-03 21:30,2018-01-03 21:30:00 PST,122.6kW,122.6
2018-01-03 21:45,2018-01-03 21:45:00 PST,119.9kW,119.9
2018-01-03 22:00,2018-01-03 22:00:00 PST,114.0kW,114
2018-01-03 22:15,2018-01-03 22:15:00 PST,111.3kW,111.3
2018-01-03 22:30,2018-01-03 22:30:00 PST,115.5kW,115.5
2018-01-03 22:45,2018-01-03 22:45:00 PST,98.4kW,98.4
2018-01-03 23:00,2018-01-03 23:00:00 PST,89.2kW,89.2
2018-01-03 23:15,2018-01-03 23:15:00 PST,92.5kW,92.5
2018-01-03 23:30,2018-01-03 23:30:00 PST,93.4kW,93.4
2018-01-03 23:45,2018-01-03 23:45:00 PST,86.9kW,86.9
2018-01-04 0:00,2018-01-04 00:00:00 PST,91.9kW,91.9
2018-01-04 0:15,2018-01-04 00:15:00 PST,94.8kW,94.8
2018-01-04 0:30,2018-01-04 00:30:00 PST,83.1kW,83.1
2018-01-04 0:45,2018-01-04 00:45:00 PST,93.5kW,93.5
2018-01-04 1:00,2018-01-04 01:00:00 PST,97.2kW,97.2
2018-01-04 1:15,2018-01-04 01:15:00 PST,96.8kW,96.8
2018-01-04 1:30,2018-01-04 01:30:00 PST,98.1kW,98.1
2018-01-04 1:45,2018-01-04 01:45:00 PST,100.6kW,100.6
